
/bin/ar:     file format elf64-x86-64


Disassembly of section .init:

0000000000002000 <.init>:
    2000:	f3 0f 1e fa          	endbr64 
    3d8d:	45 31 e4             	xor    %r12d,%r12d
    3d90:	e9 b1 00 00 00       	jmpq   3e46 <bfd_seek@plt+0x1216>
    3d95:	0f 1f 00             	nopl   (%rax)
    3d98:	48 8d 05 a1 74 00 00 	lea    0x74a1(%rip),%rax        # b240 <bfd_seek@plt+0x8610>
    3d9f:	0f b6 04 10          	movzbl (%rax,%rdx,1),%eax
    3da3:	85 c0                	test   %eax,%eax
    3da5:	0f 85 55 fe ff ff    	jne    3c00 <bfd_seek@plt+0xfd0>
    3dab:	8b 74 24 0c          	mov    0xc(%rsp),%esi
    3daf:	85 f6                	test   %esi,%esi
    3db1:	0f 84 41 01 00 00    	je     3ef8 <bfd_seek@plt+0x12c8>
    3db7:	83 7c 24 0c 03       	cmpl   $0x3,0xc(%rsp)
    3dbc:	75 14                	jne    3dd2 <bfd_seek@plt+0x11a2>
    3dbe:	8b 05 d0 d5 00 00    	mov    0xd5d0(%rip),%eax        # 11394 <stderr@@GLIBC_2.2.5+0x234>
    3dc4:	85 c0                	test   %eax,%eax
    3dc6:	0f 8f f4 00 00 00    	jg     3ec0 <bfd_seek@plt+0x1290>
    3dcc:	0f 84 36 03 00 00    	je     4108 <bfd_seek@plt+0x14d8>
    3dd2:	48 8d 15 e7 73 00 00 	lea    0x73e7(%rip),%rdx        # b1c0 <bfd_seek@plt+0x8590>
    3dd9:	eb 1c                	jmp    3df7 <bfd_seek@plt+0x11c7>
    3ddb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
    3de0:	4c 39 fd             	cmp    %r15,%rbp
    3de3:	74 5b                	je     3e40 <bfd_seek@plt+0x1210>
    3de5:	48 0f bf 45 fe       	movswq -0x2(%rbp),%rax
    3dea:	48 83 ed 02          	sub    $0x2,%rbp
    3dee:	49 83 ee 08          	sub    $0x8,%r14
    3df2:	44 0f be 2c 01       	movsbl (%rcx,%rax,1),%r13d
    3df7:	41 83 fd f2          	cmp    $0xfffffff2,%r13d
    3dfb:	74 e3                	je     3de0 <bfd_seek@plt+0x11b0>
    3dfd:	41 83 c5 01          	add    $0x1,%r13d
    3e01:	41 83 fd 22          	cmp    $0x22,%r13d
    3e05:	77 d9                	ja     3de0 <bfd_seek@plt+0x11b0>
    3e07:	4d 63 ed             	movslq %r13d,%r13
    3e0a:	48 8d 05 6f 73 00 00 	lea    0x736f(%rip),%rax        # b180 <bfd_seek@plt+0x8550>
    3e11:	42 80 3c 28 01       	cmpb   $0x1,(%rax,%r13,1)
    3e16:	75 c8                	jne    3de0 <bfd_seek@plt+0x11b0>
    3e18:	46 0f be 24 2a       	movsbl (%rdx,%r13,1),%r12d
    3e1d:	45 85 e4             	test   %r12d,%r12d
    3e20:	7e be                	jle    3de0 <bfd_seek@plt+0x11b0>
    3e22:	48 8b 05 6f d5 00 00 	mov    0xd56f(%rip),%rax        # 11398 <stderr@@GLIBC_2.2.5+0x238>
    3e29:	c7 44 24 0c 03 00 00 	movl   $0x3,0xc(%rsp)
    3e30:	00 
    3e31:	49 83 c6 08          	add    $0x8,%r14
    3e35:	48 89 ee             	mov    %rbp,%rsi
    3e38:	49 89 06             	mov    %rax,(%r14)
    3e3b:	e9 69 fe ff ff       	jmpq   3ca9 <bfd_seek@plt+0x1079>
    3e40:	41 bc 01 00 00 00    	mov    $0x1,%r12d
    3e46:	48 3b 6c 24 10       	cmp    0x10(%rsp),%rbp
    3e4b:	74 08                	je     3e55 <bfd_seek@plt+0x1225>
    3e4d:	48 89 ef             	mov    %rbp,%rdi
    3e50:	e8 1b e8 ff ff       	callq  2670 <free@plt>
    3e55:	48 8b 84 24 f8 07 00 	mov    0x7f8(%rsp),%rax
    3e5c:	00 
    3e5d:	64 48 33 04 25 28 00 	xor    %fs:0x28,%rax
    3e64:	00 00 
    3e66:	0f 85 cb 02 00 00    	jne    4137 <bfd_seek@plt+0x1507>
    3e6c:	48 81 c4 08 08 00 00 	add    $0x808,%rsp
    3e73:	44 89 e0             	mov    %r12d,%eax
    3e76:	5b                   	pop    %rbx
    3e77:	5d                   	pop    %rbp
    3e78:	41 5c                	pop    %r12
    3e7a:	41 5d                	pop    %r13
    3e7c:	41 5e                	pop    %r14
    3e7e:	41 5f                	pop    %r15
    3e80:	c3                   	retq   
    3e81:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)
    3e88:	c7 05 02 d5 00 00 00 	movl   $0x0,0xd502(%rip)        # 11394 <stderr@@GLIBC_2.2.5+0x234>
    3e8f:	00 00 00 
    3e92:	31 f6                	xor    %esi,%esi
    3e94:	e9 03 fd ff ff       	jmpq   3b9c <bfd_seek@plt+0xf6c>
    3e99:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)
    3ea0:	48 98                	cltq   
    3ea2:	48 8d 35 17 74 00 00 	lea    0x7417(%rip),%rsi        # b2c0 <bfd_seek@plt+0x8690>
    3ea9:	0f b6 34 06          	movzbl (%rsi,%rax,1),%esi
    3ead:	45 8d 64 35 00       	lea    0x0(%r13,%rsi,1),%r12d
    3eb2:	e9 e5 fc ff ff       	jmpq   3b9c <bfd_seek@plt+0xf6c>
    3eb7:	66 0f 1f 84 00 00 00 	nopw   0x0(%rax,%rax,1)
    3ebe:	00 00 
    3ec0:	c7 05 ca d4 00 00 fe 	movl   $0xfffffffe,0xd4ca(%rip)        # 11394 <stderr@@GLIBC_2.2.5+0x234>
    3ec7:	ff ff ff 
    3eca:	e9 03 ff ff ff       	jmpq   3dd2 <bfd_seek@plt+0x11a2>
    3ecf:	90                   	nop
    3ed0:	48 89 54 24 18       	mov    %rdx,0x18(%rsp)
    3ed5:	e8 b6 07 00 00       	callq  4690 <bfd_seek@plt+0x1a60>
    3eda:	48 8b 54 24 18       	mov    0x18(%rsp),%rdx
    3edf:	48 8d 0d 9a 73 00 00 	lea    0x739a(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    3ee6:	89 05 a8 d4 00 00    	mov    %eax,0xd4a8(%rip)        # 11394 <stderr@@GLIBC_2.2.5+0x234>
    3eec:	e9 8f fc ff ff       	jmpq   3b80 <bfd_seek@plt+0xf50>
    3ef1:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)
    3ef8:	83 05 91 d4 00 00 01 	addl   $0x1,0xd491(%rip)        # 11390 <stderr@@GLIBC_2.2.5+0x230>
    3eff:	e8 9c fb ff ff       	callq  3aa0 <bfd_seek@plt+0xe70>
    3f04:	48 8d 0d 75 73 00 00 	lea    0x7375(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    3f0b:	e9 c2 fe ff ff       	jmpq   3dd2 <bfd_seek@plt+0x11a2>
    3f10:	48 8d 05 a9 72 00 00 	lea    0x72a9(%rip),%rax        # b1c0 <bfd_seek@plt+0x8590>
    3f17:	44 0f be 24 10       	movsbl (%rax,%rdx,1),%r12d
    3f1c:	e9 88 fd ff ff       	jmpq   3ca9 <bfd_seek@plt+0x1079>
    3f21:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    3f26:	e8 05 30 00 00       	callq  6f30 <bfd_seek@plt+0x4300>
    3f2b:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    3f30:	48 8d 0d 49 73 00 00 	lea    0x7349(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    3f37:	e9 04 fd ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    3f3c:	8b 15 ae d2 00 00    	mov    0xd2ae(%rip),%edx        # 111f0 <stderr@@GLIBC_2.2.5+0x90>
    3f42:	31 c0                	xor    %eax,%eax
    3f44:	85 d2                	test   %edx,%edx
    3f46:	0f 94 c0             	sete   %al
    3f49:	89 05 a1 d2 00 00    	mov    %eax,0xd2a1(%rip)        # 111f0 <stderr@@GLIBC_2.2.5+0x90>
    3f4f:	e9 ec fc ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    3f54:	4d 8b 4e f8          	mov    -0x8(%r14),%r9
    3f58:	e9 e3 fc ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    3f5d:	e8 3e 39 00 00       	callq  78a0 <bfd_seek@plt+0x4c70>
    3f62:	45 31 e4             	xor    %r12d,%r12d
    3f65:	e9 eb fe ff ff       	jmpq   3e55 <bfd_seek@plt+0x1225>
    3f6a:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    3f6f:	e8 2c fb ff ff       	callq  3aa0 <bfd_seek@plt+0xe70>
    3f74:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    3f79:	48 8d 0d 00 73 00 00 	lea    0x7300(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    3f80:	e9 bb fc ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    3f85:	49 8b 3e             	mov    (%r14),%rdi
    3f88:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    3f8d:	e8 4e 39 00 00       	callq  78e0 <bfd_seek@plt+0x4cb0>
    3f92:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    3f97:	48 8d 0d e2 72 00 00 	lea    0x72e2(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    3f9e:	e9 9d fc ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    3fa3:	49 8b 3e             	mov    (%r14),%rdi
    3fa6:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    3fab:	e8 d0 35 00 00       	callq  7580 <bfd_seek@plt+0x4950>
    3fb0:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    3fb5:	48 8d 0d c4 72 00 00 	lea    0x72c4(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    3fbc:	e9 7f fc ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    3fc1:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    3fc6:	e8 85 33 00 00       	callq  7350 <bfd_seek@plt+0x4720>
    3fcb:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    3fd0:	48 8d 0d a9 72 00 00 	lea    0x72a9(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    3fd7:	e9 64 fc ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    3fdc:	49 8b 3e             	mov    (%r14),%rdi
    3fdf:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    3fe4:	e8 87 33 00 00       	callq  7370 <bfd_seek@plt+0x4740>
    3fe9:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    3fee:	48 8d 0d 8b 72 00 00 	lea    0x728b(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    3ff5:	e9 46 fc ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    3ffa:	49 8b 3e             	mov    (%r14),%rdi
    3ffd:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    4002:	e8 39 32 00 00       	callq  7240 <bfd_seek@plt+0x4610>
    4007:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    400c:	48 8d 0d 6d 72 00 00 	lea    0x726d(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    4013:	e9 28 fc ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    4018:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    401d:	e8 8e 37 00 00       	callq  77b0 <bfd_seek@plt+0x4b80>
    4022:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    4027:	48 8d 0d 52 72 00 00 	lea    0x7252(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    402e:	e9 0d fc ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    4033:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    4038:	e8 83 34 00 00       	callq  74c0 <bfd_seek@plt+0x4890>
    403d:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    4042:	48 8d 0d 37 72 00 00 	lea    0x7237(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    4049:	e9 f2 fb ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    404e:	49 8b 3e             	mov    (%r14),%rdi
    4051:	31 f6                	xor    %esi,%esi
    4053:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    4058:	e8 33 2f 00 00       	callq  6f90 <bfd_seek@plt+0x4360>
    405d:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    4062:	48 8d 0d 17 72 00 00 	lea    0x7217(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    4069:	e9 d2 fb ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    406e:	49 8b 3e             	mov    (%r14),%rdi
    4071:	be 01 00 00 00       	mov    $0x1,%esi
    4076:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    407b:	e8 10 2f 00 00       	callq  6f90 <bfd_seek@plt+0x4360>
    4080:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    4085:	48 8d 0d f4 71 00 00 	lea    0x71f4(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    408c:	e9 af fb ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    4091:	49 8b 7e f8          	mov    -0x8(%r14),%rdi
    4095:	49 8b 36             	mov    (%r14),%rsi
    4098:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    409d:	e8 de 30 00 00       	callq  7180 <bfd_seek@plt+0x4550>
    40a2:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    40a7:	48 8d 0d d2 71 00 00 	lea    0x71d2(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    40ae:	e9 8d fb ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    40b3:	49 8b 76 f8          	mov    -0x8(%r14),%rsi
    40b7:	49 8b 7e f0          	mov    -0x10(%r14),%rdi
    40bb:	4c 89 4c 24 18       	mov    %r9,0x18(%rsp)
    40c0:	49 8b 16             	mov    (%r14),%rdx
    40c3:	e8 48 2d 00 00       	callq  6e10 <bfd_seek@plt+0x41e0>
    40c8:	4c 8b 4c 24 18       	mov    0x18(%rsp),%r9
    40cd:	48 8d 0d ac 71 00 00 	lea    0x71ac(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    40d4:	e9 67 fb ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    40d9:	4d 8b 0e             	mov    (%r14),%r9
    40dc:	e9 5f fb ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    40e1:	bf 10 00 00 00       	mov    $0x10,%edi
    40e6:	e8 35 e9 ff ff       	callq  2a20 <malloc@plt>
    40eb:	48 8d 0d 8e 71 00 00 	lea    0x718e(%rip),%rcx        # b280 <bfd_seek@plt+0x8650>
    40f2:	49 89 c1             	mov    %rax,%r9
    40f5:	49 8b 46 f0          	mov    -0x10(%r14),%rax
    40f9:	49 89 41 08          	mov    %rax,0x8(%r9)
    40fd:	49 8b 06             	mov    (%r14),%rax
    4100:	49 89 01             	mov    %rax,(%r9)
    4103:	e9 38 fb ff ff       	jmpq   3c40 <bfd_seek@plt+0x1010>
    4108:	4c 89 fd             	mov    %r15,%rbp
    410b:	41 bc 01 00 00 00    	mov    $0x1,%r12d
    4111:	e9 30 fd ff ff       	jmpq   3e46 <bfd_seek@plt+0x1216>
    4116:	e8 85 f9 ff ff       	callq  3aa0 <bfd_seek@plt+0xe70>
    411b:	4c 89 fd             	mov    %r15,%rbp
    411e:	41 bc 02 00 00 00    	mov    $0x2,%r12d
    4124:	e9 1d fd ff ff       	jmpq   3e46 <bfd_seek@plt+0x1216>
    4129:	4c 89 ed             	mov    %r13,%rbp
    412c:	41 bc 01 00 00 00    	mov    $0x1,%r12d
    4132:	e9 16 fd ff ff       	jmpq   3e4d <bfd_seek@plt+0x121d>
    4137:	e8 c4 e6 ff ff       	callq  2800 <__stack_chk_fail@plt>
    413c:	0f 1f 40 00          	nopl   0x0(%rax)
    4140:	48 8b 05 59 d0 00 00 	mov    0xd059(%rip),%rax        # 111a0 <stderr@@GLIBC_2.2.5+0x40>
    4147:	4c 8b 15 52 d2 00 00 	mov    0xd252(%rip),%r10        # 113a0 <stderr@@GLIBC_2.2.5+0x240>
    414e:	41 57                	push   %r15
    4150:	41 56                	push   %r14
    4152:	44 8b 1d 3b d0 00 00 	mov    0xd03b(%rip),%r11d        # 11194 <stderr@@GLIBC_2.2.5+0x34>
    4159:	41 55                	push   %r13
    415b:	41 54                	push   %r12
    415d:	55                   	push   %rbp
    415e:	53                   	push   %rbx
    415f:	48 89 44 24 f8       	mov    %rax,-0x8(%rsp)
    4164:	49 39 c2             	cmp    %rax,%r10
    4167:	0f 83 e2 00 00 00    	jae    424f <bfd_seek@plt+0x161f>
    416d:	44 8b 35 1c d0 00 00 	mov    0xd01c(%rip),%r14d        # 11190 <stderr@@GLIBC_2.2.5+0x30>
    4174:	45 31 e4             	xor    %r12d,%r12d
    4177:	4c 8b 2d 0a d0 00 00 	mov    0xd00a(%rip),%r13        # 11188 <stderr@@GLIBC_2.2.5+0x28>
    417e:	48 8d 2d 3b 7d 00 00 	lea    0x7d3b(%rip),%rbp        # bec0 <bfd_seek@plt+0x9290>
    4185:	4c 8d 05 74 7a 00 00 	lea    0x7a74(%rip),%r8        # bc00 <bfd_seek@plt+0x8fd0>
    418c:	48 8d 3d ed 74 00 00 	lea    0x74ed(%rip),%rdi        # b680 <bfd_seek@plt+0x8a50>
    4193:	44 89 da             	mov    %r11d,%edx
    4196:	4c 8d 0d e3 78 00 00 	lea    0x78e3(%rip),%r9        # ba80 <bfd_seek@plt+0x8e50>
    419d:	48 8d 1d dc 7b 00 00 	lea    0x7bdc(%rip),%rbx        # bd80 <bfd_seek@plt+0x9150>
    41a4:	0f 1f 40 00          	nopl   0x0(%rax)
    41a8:	41 0f b6 02          	movzbl (%r10),%eax
    41ac:	84 c0                	test   %al,%al
    41ae:	0f 84 ac 00 00 00    	je     4260 <bfd_seek@plt+0x1630>
    41b4:	48 8d 35 05 7c 00 00 	lea    0x7c05(%rip),%rsi        # bdc0 <bfd_seek@plt+0x9190>
    41bb:	0f b6 0c 06          	movzbl (%rsi,%rax,1),%ecx
    41bf:	89 ce                	mov    %ecx,%esi
    41c1:	48 63 d2             	movslq %edx,%rdx
    41c4:	b8 01 00 00 00       	mov    $0x1,%eax
    41c9:	66 83 7c 55 00 00    	cmpw   $0x0,0x0(%rbp,%rdx,2)
    41cf:	44 0f 45 e0          	cmovne %eax,%r12d
    41d3:	41 0f bf 04 50       	movswl (%r8,%rdx,2),%eax
    41d8:	4d 0f 45 ea          	cmovne %r10,%r13
    41dc:	44 0f 45 f2          	cmovne %edx,%r14d
    41e0:	01 c8                	add    %ecx,%eax
    41e2:	48 98                	cltq   
    41e4:	44 0f bf 3c 47       	movswl (%rdi,%rax,2),%r15d
    41e9:	41 39 d7             	cmp    %edx,%r15d
    41ec:	74 2f                	je     421d <bfd_seek@plt+0x15ed>
    41ee:	66 90                	xchg   %ax,%ax
    41f0:	41 0f bf 14 51       	movswl (%r9,%rdx,2),%edx
    41f5:	41 89 d3             	mov    %edx,%r11d
    41f8:	66 81 fa b0 00       	cmp    $0xb0,%dx
    41fd:	7e 07                	jle    4206 <bfd_seek@plt+0x15d6>
    41ff:	48 63 c9             	movslq %ecx,%rcx
    4202:	0f b6 34 0b          	movzbl (%rbx,%rcx,1),%esi
    4206:	48 63 d2             	movslq %edx,%rdx
    4209:	40 0f b6 ce          	movzbl %sil,%ecx
    420d:	41 0f bf 04 50       	movswl (%r8,%rdx,2),%eax
    4212:	01 c8                	add    %ecx,%eax
    4214:	48 98                	cltq   
    4216:	66 44 3b 1c 47       	cmp    (%rdi,%rax,2),%r11w
    421b:	75 d3                	jne    41f0 <bfd_seek@plt+0x15c0>
    421d:	48 8d 35 5c 76 00 00 	lea    0x765c(%rip),%rsi        # b880 <bfd_seek@plt+0x8c50>
    4224:	49 83 c2 01          	add    $0x1,%r10
    4228:	0f bf 04 46          	movswl (%rsi,%rax,2),%eax
    422c:	89 c2                	mov    %eax,%edx
    422e:	4c 3b 54 24 f8       	cmp    -0x8(%rsp),%r10
    4233:	0f 85 6f ff ff ff    	jne    41a8 <bfd_seek@plt+0x1578>
    4239:	41 89 c3             	mov    %eax,%r11d
    423c:	45 84 e4             	test   %r12b,%r12b
    423f:	74 0e                	je     424f <bfd_seek@plt+0x161f>
    4241:	44 89 35 48 cf 00 00 	mov    %r14d,0xcf48(%rip)        # 11190 <stderr@@GLIBC_2.2.5+0x30>
    4248:	4c 89 2d 39 cf 00 00 	mov    %r13,0xcf39(%rip)        # 11188 <stderr@@GLIBC_2.2.5+0x28>
    424f:	5b                   	pop    %rbx
    4250:	44 89 d8             	mov    %r11d,%eax
    4253:	5d                   	pop    %rbp
    4254:	41 5c                	pop    %r12
    4256:	41 5d                	pop    %r13
    4258:	41 5e                	pop    %r14
    425a:	41 5f                	pop    %r15
    425c:	c3                   	retq   
    425d:	0f 1f 00             	nopl   (%rax)
    4260:	b9 01 00 00 00       	mov    $0x1,%ecx
    4265:	be 01 00 00 00       	mov    $0x1,%esi
    426a:	e9 52 ff ff ff       	jmpq   41c1 <bfd_seek@plt+0x1591>
    426f:	90                   	nop
    4270:	50                   	push   %rax
    4271:	58                   	pop    %rax
    4272:	48 8d 15 73 92 00 00 	lea    0x9273(%rip),%rdx        # d4ec <bfd_seek@plt+0xa8bc>
    4279:	be 01 00 00 00       	mov    $0x1,%esi
    427e:	31 c0                	xor    %eax,%eax
    4280:	48 83 ec 08          	sub    $0x8,%rsp
    4284:	48 89 f9             	mov    %rdi,%rcx
    4287:	48 8b 3d d2 ce 00 00 	mov    0xced2(%rip),%rdi        # 11160 <stderr@@GLIBC_2.2.5>
    428e:	e8 2d e9 ff ff       	callq  2bc0 <__fprintf_chk@plt>
    4293:	bf 02 00 00 00       	mov    $0x2,%edi
    4298:	e8 03 e9 ff ff       	callq  2ba0 <exit@plt>
    429d:	0f 1f 00             	nopl   (%rax)
    42a0:	55                   	push   %rbp
    42a1:	53                   	push   %rbx
    42a2:	48 83 ec 08          	sub    $0x8,%rsp
    42a6:	48 8b 3d 03 cf 00 00 	mov    0xcf03(%rip),%rdi        # 111b0 <stderr@@GLIBC_2.2.5+0x50>
    42ad:	48 85 ff             	test   %rdi,%rdi
    42b0:	74 6e                	je     4320 <bfd_seek@plt+0x16f0>
    42b2:	48 8b 05 ff ce 00 00 	mov    0xceff(%rip),%rax        # 111b8 <stderr@@GLIBC_2.2.5+0x58>
    42b9:	48 8d 50 ff          	lea    -0x1(%rax),%rdx
    42bd:	48 3b 15 fc ce 00 00 	cmp    0xcefc(%rip),%rdx        # 111c0 <stderr@@GLIBC_2.2.5+0x60>
    42c4:	76 0a                	jbe    42d0 <bfd_seek@plt+0x16a0>
    42c6:	48 83 c4 08          	add    $0x8,%rsp
    42ca:	5b                   	pop    %rbx
    42cb:	5d                   	pop    %rbp
    42cc:	c3                   	retq   
    42cd:	0f 1f 00             	nopl   (%rax)
    42d0:	48 8d 58 08          	lea    0x8(%rax),%rbx
    42d4:	48 8d 2c dd 00 00 00 	lea    0x0(,%rbx,8),%rbp
    42db:	00 
    42dc:	48 89 ee             	mov    %rbp,%rsi
    42df:	e8 ac e7 ff ff       	callq  2a90 <realloc@plt>
    42e4:	48 89 05 c5 ce 00 00 	mov    %rax,0xcec5(%rip)        # 111b0 <stderr@@GLIBC_2.2.5+0x50>
    42eb:	48 85 c0             	test   %rax,%rax
    42ee:	74 68                	je     4358 <bfd_seek@plt+0x1728>
    42f0:	48 8d 44 28 c0       	lea    -0x40(%rax,%rbp,1),%rax
    42f5:	66 0f ef c0          	pxor   %xmm0,%xmm0
    42f9:	48 89 1d b8 ce 00 00 	mov    %rbx,0xceb8(%rip)        # 111b8 <stderr@@GLIBC_2.2.5+0x58>
    4300:	0f 11 00             	movups %xmm0,(%rax)
    4303:	0f 11 40 10          	movups %xmm0,0x10(%rax)
    4307:	0f 11 40 20          	movups %xmm0,0x20(%rax)
    430b:	0f 11 40 30          	movups %xmm0,0x30(%rax)
    430f:	48 83 c4 08          	add    $0x8,%rsp
    4313:	5b                   	pop    %rbx
    4314:	5d                   	pop    %rbp
    4315:	c3                   	retq   
    4316:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
    431d:	00 00 00 
    4320:	be 01 00 00 00       	mov    $0x1,%esi
    4325:	bf 08 00 00 00       	mov    $0x8,%edi
    432a:	e8 11 e6 ff ff       	callq  2940 <calloc@plt>
    432f:	48 89 05 7a ce 00 00 	mov    %rax,0xce7a(%rip)        # 111b0 <stderr@@GLIBC_2.2.5+0x50>
    4336:	48 85 c0             	test   %rax,%rax
    4339:	74 1d                	je     4358 <bfd_seek@plt+0x1728>
    433b:	48 c7 05 72 ce 00 00 	movq   $0x1,0xce72(%rip)        # 111b8 <stderr@@GLIBC_2.2.5+0x58>
    4342:	01 00 00 00 
    4346:	48 c7 05 6f ce 00 00 	movq   $0x0,0xce6f(%rip)        # 111c0 <stderr@@GLIBC_2.2.5+0x60>
    434d:	00 00 00 00 
    4351:	48 83 c4 08          	add    $0x8,%rsp
    4355:	5b                   	pop    %rbx
    4356:	5d                   	pop    %rbp
    4357:	c3                   	retq   
    4358:	48 8d 3d b1 70 00 00 	lea    0x70b1(%rip),%rdi        # b410 <bfd_seek@plt+0x87e0>
    435f:	e8 0c ff ff ff       	callq  4270 <bfd_seek@plt+0x1640>
    4364:	66 66 2e 0f 1f 84 00 	data16 nopw %cs:0x0(%rax,%rax,1)
    436b:	00 00 00 00 
    436f:	90                   	nop
    4370:	f3 0f 1e fa          	endbr64 
    4374:	53                   	push   %rbx
    4375:	48 89 fb             	mov    %rdi,%rbx
    4378:	e8 23 ff ff ff       	callq  42a0 <bfd_seek@plt+0x1670>
    437d:	48 8b 05 2c ce 00 00 	mov    0xce2c(%rip),%rax        # 111b0 <stderr@@GLIBC_2.2.5+0x50>
    4384:	48 85 c0             	test   %rax,%rax
    4387:	74 6f                	je     43f8 <bfd_seek@plt+0x17c8>
    4389:	48 8b 15 30 ce 00 00 	mov    0xce30(%rip),%rdx        # 111c0 <stderr@@GLIBC_2.2.5+0x60>
    4390:	48 8d 04 d0          	lea    (%rax,%rdx,8),%rax
    4394:	48 8b 10             	mov    (%rax),%rdx
    4397:	48 39 da             	cmp    %rbx,%rdx
    439a:	74 56                	je     43f2 <bfd_seek@plt+0x17c2>
    439c:	48 85 d2             	test   %rdx,%rdx
    439f:	74 20                	je     43c1 <bfd_seek@plt+0x1791>
    43a1:	48 8b 0d f8 cd 00 00 	mov    0xcdf8(%rip),%rcx        # 111a0 <stderr@@GLIBC_2.2.5+0x40>
    43a8:	0f b6 15 fd cd 00 00 	movzbl 0xcdfd(%rip),%edx        # 111ac <stderr@@GLIBC_2.2.5+0x4c>
    43af:	88 11                	mov    %dl,(%rcx)
    43b1:	48 8b 10             	mov    (%rax),%rdx
    43b4:	48 89 4a 10          	mov    %rcx,0x10(%rdx)
    43b8:	8b 0d ea cd 00 00    	mov    0xcdea(%rip),%ecx        # 111a8 <stderr@@GLIBC_2.2.5+0x48>
    43be:	89 4a 1c             	mov    %ecx,0x1c(%rdx)
    43c1:	48 89 18             	mov    %rbx,(%rax)
    43c4:	8b 43 1c             	mov    0x1c(%rbx),%eax
    43c7:	48 8b 13             	mov    (%rbx),%rdx
    43ca:	89 05 d8 cd 00 00    	mov    %eax,0xcdd8(%rip)        # 111a8 <stderr@@GLIBC_2.2.5+0x48>
    43d0:	48 8b 43 10          	mov    0x10(%rbx),%rax
    43d4:	48 89 15 a5 cd 00 00 	mov    %rdx,0xcda5(%rip)        # 11180 <stderr@@GLIBC_2.2.5+0x20>
